Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,29,10,19,.345,-16.03,-5.99,4,12,9,7,1,12,1897,2064,66.2,98.8,.296,.365,.528,44.7,57.1,10.2,3.8,.496,17.6,26.2,.213
2,Air Force,29,13,16,.448,-1.74,-0.71,6,12,12,5,1,11,1901,1876,61.0,107.0,.309,.403,.565,49.5,65.5,10.2,7.2,.546,16.9,29.2,.202
3,Akron,30,18,12,.600,3.69,-0.17,9,8,16,4,2,8,2059,1908,65.3,104.6,.306,.460,.520,50.9,52.7,11.0,14.4,.495,15.9,34.6,.199
4,Alabama A&M,26,8,18,.308,-16.07,-8.35,7,9,4,7,4,11,1613,1786,64.3,96.0,.425,.379,.489,49.9,57.6,8.5,7.3,.452,18.5,36.3,.270
5,Alabama-Birmingham,29,16,13,.552,1.84,1.48,12,4,13,7,3,6,2018,1995,66.4,101.7,.376,.295,.525,50.5,57.9,10.1,13.7,.477,17.4,34.1,.282
6,Alabama State,25,16,9,.640,-9.49,-11.18,12,4,10,4,6,5,1791,1700,69.8,102.2,.354,.266,.511,53.1,50.6,9.0,8.7,.484,16.3,35.4,.227
7,Alabama,30,17,13,.567,10.47,7.95,7,10,14,6,3,7,2013,1920,63.4,105.0,.442,.407,.547,50.3,47.0,10.4,12.4,.502,17.0,30.9,.318
8,Albany (NY),30,22,8,.733,-0.28,-5.81,15,1,10,3,12,5,1985,1819,61.4,107.2,.405,.349,.554,53.9,47.9,9.2,4.8,.507,16.8,32.9,.307
9,Alcorn State,28,5,23,.179,-20.53,-9.26,4,12,4,10,1,13,1773,2053,68.4,92.6,.389,.293,.461,46.2,39.4,8.7,5.9,.417,14.3,30.4,.257
10,American,30,15,15,.500,-3.75,-3.42,8,10,10,3,5,12,1734,1744,56.8,100.1,.346,.388,.557,46.0,59.6,9.8,9.5,.526,18.3,21.8,.245
11,Appalachian State,27,10,17,.370,-10.89,-3.22,7,11,5,5,5,12,1702,1909,66.6,94.7,.335,.360,.490,50.3,49.2,6.0,5.8,.450,17.8,31.7,.236
12,Arizona State,29,15,14,.517,10.20,7.09,7,9,13,4,2,10,2017,1927,65.9,103.7,.434,.379,.547,52.8,55.6,8.4,6.4,.514,18.3,31.6,.290
13,Arizona,29,26,3,.897,23.67,6.81,14,2,18,0,8,3,2186,1697,66.5,112.9,.475,.254,.568,56.6,51.8,10.7,8.7,.531,14.9,34.6,.331
14,Arkansas-Little Rock,29,13,16,.448,-5.03,-3.63,8,11,10,8,3,8,2022,2048,65.3,103.6,.368,.355,.520,48.7,51.9,8.0,7.4,.482,14.0,29.6,.259
15,Arkansas-Pine Bluff,31,11,20,.355,-15.69,-7.82,8,9,7,6,4,14,1821,2065,64.4,90.9,.361,.369,.492,44.6,49.9,13.8,10.6,.453,20.4,30.4,.245
16,Arkansas State,27,11,16,.407,-9.37,-3.72,6,12,5,7,6,9,1736,1856,66.6,95.6,.328,.320,.499,49.3,49.4,7.9,8.1,.461,17.7,30.8,.232
17,Arkansas,29,23,6,.793,14.87,5.80,12,4,17,1,6,5,2294,2031,70.8,110.7,.372,.312,.545,50.5,60.7,11.1,11.5,.507,14.0,35.1,.269
18,Army,30,15,15,.500,-6.10,-4.58,6,12,8,7,7,8,2164,2163,69.0,103.2,.315,.394,.532,49.3,56.1,9.2,9.9,.505,16.4,30.4,.214
19,Auburn,30,12,18,.400,2.42,7.76,4,13,10,8,2,10,2037,2171,67.9,99.2,.463,.384,.515,46.1,49.2,10.0,7.8,.474,16.9,28.8,.309
20,Austin Peay,30,8,22,.267,-12.29,-2.65,3,13,7,8,1,14,1937,2178,68.2,94.6,.411,.308,.486,50.3,54.3,9.3,10.7,.444,17.9,33.0,.274
21,Ball State,28,7,21,.250,-4.03,0.82,2,15,6,8,1,13,1819,1911,64.0,99.6,.352,.429,.529,50.9,57.3,8.3,7.5,.496,19.1,31.0,.243
22,Baylor,30,22,8,.733,19.74,10.12,10,7,16,3,6,5,2084,1785,62.8,109.8,.379,.328,.526,56.2,61.4,12.2,10.9,.495,16.0,43.0,.251
23,Belmont,29,19,10,.655,-1.12,-3.87,11,5,12,2,7,8,2145,2048,68.0,108.7,.348,.477,.587,49.6,59.2,9.5,7.3,.564,18.3,28.0,.241
24,Bethune-Cookman,30,10,20,.333,-15.33,-9.69,6,9,6,9,4,11,1767,1877,61.3,96.1,.434,.344,.498,51.2,42.4,8.9,7.9,.446,19.4,36.0,.311
25,Binghamton,32,6,26,.188,-13.10,-3.13,5,11,5,11,1,15,1845,2124,63.4,90.7,.387,.347,.488,46.9,43.9,9.1,7.7,.450,18.8,26.5,.255
26,Boise State,30,23,7,.767,10.65,1.69,13,4,15,2,8,5,2118,1798,62.5,111.1,.322,.407,.570,51.8,49.4,9.5,7.6,.539,14.1,28.0,.236
27,Boston College,29,11,18,.379,6.33,8.16,3,14,9,11,2,7,1897,1950,63.7,101.0,.344,.380,.538,48.5,56.9,9.0,8.1,.505,17.3,27.2,.242
28,Boston University,29,13,16,.448,-4.44,-2.72,9,9,8,7,5,9,1973,1998,63.9,105.6,.456,.422,.562,50.9,55.4,9.0,6.7,.525,17.3,28.4,.317
29,Bowling Green State,28,19,9,.679,4.69,-0.83,11,6,10,5,9,4,1840,1705,63.7,102.7,.322,.364,.522,50.9,51.3,10.7,11.3,.488,15.9,31.0,.226
30,Bradley,31,8,23,.258,-3.83,1.61,3,15,7,12,1,11,1784,1905,61.6,92.2,.383,.347,.472,50.7,47.9,11.2,8.2,.431,17.6,32.9,.255
31,Brigham Young,31,23,8,.742,15.11,5.28,13,5,15,5,8,3,2604,2230,70.5,117.3,.423,.367,.583,53.4,60.9,10.9,8.0,.538,14.2,34.9,.325
32,Brown,29,13,16,.448,-6.78,-1.74,4,8,10,6,3,10,1917,1997,67.7,97.2,.450,.336,.520,51.4,53.8,6.7,13.6,.474,19.2,30.5,.314
33,Bryant,30,16,14,.533,-5.61,-4.64,12,6,9,5,7,9,2005,2034,63.8,103.5,.329,.386,.529,49.0,53.4,7.8,7.4,.488,15.6,29.5,.247
34,Bucknell,31,18,13,.581,-3.41,-2.58,13,5,12,3,6,10,2108,2110,63.9,105.1,.393,.333,.541,50.9,56.2,6.4,8.3,.505,15.3,28.8,.272
35,Buffalo,29,20,9,.690,8.38,1.51,11,6,11,2,9,7,2166,1967,68.7,108.7,.414,.299,.533,52.0,51.8,11.1,9.8,.486,14.1,34.8,.304
36,Butler,30,21,9,.700,17.09,8.09,11,6,15,5,6,4,2097,1827,64.6,107.3,.408,.284,.528,54.8,47.3,9.7,7.2,.492,14.6,35.9,.275
37,Cal Poly,27,13,14,.481,0.07,0.67,6,9,8,5,5,9,1646,1603,59.4,101.6,.328,.338,.482,51.2,47.9,9.1,8.9,.445,12.6,33.1,.225
38,Cal State Bakersfield,30,13,17,.433,-6.43,-5.54,7,6,10,7,3,10,1923,1857,61.5,102.1,.385,.331,.521,54.2,59.4,9.0,5.3,.477,17.4,34.6,.279
39,Cal State Fullerton,29,9,20,.310,-8.10,-1.03,1,13,8,8,1,12,1859,1996,65.4,96.8,.373,.312,.502,50.7,44.2,7.7,5.4,.462,16.5,28.7,.257
