Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
34,Buffalo,31,20,11,.645,4.15,0.15,12,4,12,2,8,8,2262,2090,68.6,105.8,.384,.347,.552,54.7,63.4,8.1,13.9,.526,18.6,35.7,.253
35,Butler,37,22,15,.595,2.86,1.14,11,7,13,6,7,9,2352,2245,64.5,97.5,.400,.323,.491,52.9,55.2,9.9,9.0,.454,17.0,35.7,.260
36,Cal Poly,33,18,15,.545,-0.58,-3.78,8,8,10,4,5,10,2136,1998,60.4,107.1,.291,.357,.521,54.3,54.0,9.4,4.4,.492,14.7,36.6,.203
37,Cal State Bakersfield,31,16,15,.516,-7.15,-3.65,0,0,10,3,6,12,2121,2154,66.2,103.0,.350,.323,.543,50.3,57.7,12.0,9.4,.513,19.1,34.9,.239
38,Cal State Fullerton,31,21,10,.677,-1.18,-5.32,12,4,13,1,7,7,2417,2205,70.3,110.9,.396,.373,.577,54.1,55.7,8.0,7.6,.548,18.7,36.9,.275
39,Cal State Northridge,28,7,21,.250,-12.65,-2.61,3,13,4,8,3,13,1908,2101,69.0,98.2,.361,.332,.487,49.0,58.5,9.0,6.0,.434,16.5,36.2,.273
40,California-Davis,31,5,26,.161,-15.60,-2.63,3,13,4,8,1,14,1924,2307,66.6,93.2,.328,.403,.516,45.8,56.1,7.3,7.3,.484,20.6,27.0,.224
41,California-Irvine,32,12,20,.375,-6.07,-1.24,6,10,8,6,3,11,2179,2309,69.9,96.7,.318,.376,.509,49.3,63.5,6.9,11.3,.484,18.7,31.0,.203
42,California-Riverside,31,14,17,.452,-8.01,-2.22,7,9,8,5,5,9,1841,1954,63.3,92.0,.298,.253,.483,48.4,45.0,7.4,9.9,.449,17.9,29.1,.206
43,California-Santa Barbara,31,20,11,.645,4.00,-1.38,12,4,11,3,7,7,2262,2059,64.6,111.2,.342,.338,.554,52.7,57.4,8.5,13.3,.525,15.4,36.2,.237
44,California,34,24,10,.706,13.79,4.53,13,5,17,1,5,6,2419,2104,66.3,107.3,.341,.229,.554,53.3,60.5,7.1,7.3,.517,16.0,32.1,.254
45,Campbell,32,17,15,.531,-6.06,-4.80,11,7,11,2,6,12,2370,2361,69.6,106.0,.435,.259,.562,50.8,58.6,8.8,12.9,.532,17.9,31.5,.291
46,Canisius,30,5,25,.167,-14.73,-4.53,1,17,3,10,2,14,1965,2271,67.6,96.1,.291,.335,.499,48.4,46.4,9.4,6.6,.462,18.5,33.9,.211
47,Central Arkansas,29,8,21,.276,-17.26,-4.83,3,13,6,7,2,14,2058,2371,74.2,94.0,.321,.260,.474,47.5,54.2,10.7,6.6,.457,17.1,33.9,.178
48,Central Connecticut State,29,13,16,.448,-5.36,-5.05,10,8,10,3,3,12,2029,2038,68.9,100.2,.324,.310,.521,48.1,54.8,11.6,8.8,.478,18.0,33.3,.246
49,Central Florida,33,22,11,.667,4.33,2.98,10,6,16,1,3,9,2166,2096,64.3,102.1,.406,.333,.511,52.0,48.8,9.8,12.0,.482,16.6,36.5,.254
50,Central Michigan,32,11,21,.344,-6.74,-1.62,5,11,6,6,3,13,1980,2134,64.4,95.3,.335,.343,.482,47.6,47.0,10.3,9.0,.452,16.2,32.0,.213
51,Charleston Southern,31,19,12,.613,-2.19,-4.33,11,7,12,2,5,10,2383,2242,70.9,108.0,.353,.365,.547,50.9,47.4,11.4,6.9,.517,16.2,34.3,.243
52,Charlotte,30,13,17,.433,0.99,2.86,5,11,7,7,6,10,2010,2066,68.8,96.6,.390,.351,.504,49.3,56.6,11.7,7.8,.469,17.6,30.0,.257
53,Chattanooga,32,11,21,.344,-6.99,-3.54,5,13,11,6,0,14,2260,2204,69.5,100.5,.386,.391,.516,51.9,59.6,9.0,3.2,.479,17.0,31.5,.265
54,Chicago State,30,4,26,.133,-19.30,-3.13,2,8,3,9,1,17,1884,2313,71.5,87.5,.312,.304,.474,48.1,46.5,9.9,8.2,.442,20.5,30.1,.204
55,Cincinnati,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,64.1,104.9,.293,.348,.505,50.2,51.8,12.4,11.9,.480,14.0,35.7,.189
56,Citadel,30,6,24,.200,-14.49,-3.67,3,15,4,10,1,12,1925,2158,66.1,95.5,.334,.302,.516,48.8,56.8,8.9,4.4,.488,19.3,29.3,.220
57,Clemson,31,16,15,.516,7.31,3.41,8,8,11,5,4,7,2001,1880,63.3,101.2,.314,.313,.512,50.6,53.3,11.7,10.0,.483,16.2,33.0,.210
58,Cleveland State,33,22,11,.667,5.27,0.12,12,6,10,4,11,5,2177,1983,64.3,102.7,.276,.333,.535,50.3,56.1,13.2,9.2,.508,18.5,35.1,.196
59,Coastal Carolina,31,19,12,.613,-2.64,-4.56,12,6,12,4,7,7,2248,2042,66.8,107.7,.332,.251,.554,54.1,47.7,9.7,9.1,.529,17.6,35.6,.224
60,Colgate,30,8,22,.267,-14.91,-4.38,2,12,5,8,3,14,1893,2209,65.7,95.3,.355,.336,.529,49.2,55.0,5.6,6.7,.495,19.9,26.0,.245
61,College of Charleston,31,19,12,.613,-0.16,-2.54,10,8,10,4,7,6,2191,2117,68.4,101.8,.386,.410,.523,47.5,49.1,10.6,11.0,.495,16.6,29.9,.248
62,Colorado State,32,20,12,.625,6.58,5.23,8,6,14,1,3,9,2243,2177,64.5,107.4,.423,.292,.576,51.0,50.9,8.2,5.2,.530,17.5,28.7,.324
63,Colorado,36,24,12,.667,7.91,5.73,11,7,14,2,4,7,2429,2269,66.0,101.9,.432,.305,.538,52.2,50.5,8.8,9.0,.499,17.3,30.1,.299
64,Columbia,30,15,15,.500,-2.90,-3.18,4,10,8,6,5,9,1955,1863,63.5,101.8,.321,.356,.535,51.6,55.6,9.5,6.9,.497,16.8,29.1,.238
65,Connecticut,34,20,14,.588,12.27,8.07,8,10,13,4,3,7,2336,2193,64.1,106.0,.346,.293,.528,51.8,53.3,9.0,17.3,.500,16.0,36.3,.229
66,Coppin State,30,14,16,.467,-9.07,-5.96,9,7,7,5,6,9,2213,2257,69.5,105.7,.341,.453,.545,47.5,58.6,8.3,5.5,.515,16.1,30.1,.236
67,Cornell,28,12,16,.429,-4.05,-0.98,7,7,10,3,2,13,1833,1898,67.7,95.0,.315,.406,.509,46.3,59.3,11.3,9.1,.477,17.4,25.1,.216
68,Creighton,35,29,6,.829,12.92,3.41,14,4,14,2,10,3,2772,2439,67.3,116.9,.381,.350,.607,54.1,63.2,7.1,6.5,.578,15.7,30.8,.276
69,Dartmouth,30,5,25,.167,-10.07,-3.56,1,13,4,9,1,14,1727,1904,63.4,90.4,.367,.308,.489,49.7,49.2,8.5,7.0,.445,19.3,27.4,.259
70,Davidson,33,25,8,.758,7.26,-1.68,16,2,13,2,8,5,2571,2238,68.8,112.4,.371,.386,.555,54.4,51.8,8.0,9.6,.511,14.5,35.4,.283
71,Dayton,33,20,13,.606,8.48,4.30,9,7,14,4,3,8,2369,2231,65.0,108.7,.335,.403,.549,52.6,58.0,8.0,8.0,.507,16.8,36.3,.260
72,Delaware State,29,15,14,.517,-8.07,-6.78,12,4,8,5,7,8,1917,1868,62.1,104.2,.312,.323,.523,45.0,49.3,12.4,17.8,.491,14.1,30.3,.219
73,Delaware,32,18,14,.563,-1.61,-2.18,12,6,11,3,6,10,2206,2188,67.2,100.6,.434,.310,.523,48.9,40.5,6.8,13.3,.475,16.5,28.9,.311
74,Denver,31,22,9,.710,6.14,-1.47,11,5,14,2,7,6,2112,1876,61.3,109.8,.352,.429,.606,46.5,66.5,11.6,16.1,.573,17.9,23.5,.268
