Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,16,16,.500,2.71,3.31,6,10,12,5,3,11,2074,2082,62.5,102.6,.387,.367,.572,45.3,68.4,9.9,8.6,.540,17.7,20.4,.273
2,Akron,36,23,13,.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,67.0,102.9,.313,.379,.530,47.9,58.3,9.8,10.0,.499,15.5,28.3,.220
3,Alabama A&M,28,13,15,.464,-15.19,-11.75,10,8,9,4,4,10,1808,1870,71.6,89.8,.418,.272,.472,48.8,53.6,11.6,13.0,.435,19.0,31.5,.261
4,Alabama-Birmingham,31,22,9,.710,8.55,2.78,12,4,13,2,8,5,2119,1940,63.1,105.7,.297,.405,.538,51.7,55.6,8.2,9.4,.508,16.6,33.4,.213
5,Alabama State,35,17,18,.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,66.5,91.6,.473,.317,.476,50.7,55.5,10.9,13.0,.440,19.7,35.6,.285
6,Alabama,37,25,12,.676,11.70,4.27,12,4,19,0,4,6,2473,2198,65.3,101.6,.316,.247,.520,52.0,48.8,14.4,12.2,.487,18.0,36.8,.223
7,Albany (NY),32,16,16,.500,-7.05,-5.96,9,7,7,6,7,8,2013,2048,61.0,101.1,.297,.369,.517,51.8,51.1,7.5,8.4,.494,17.6,35.1,.192
8,Alcorn State,28,4,24,.143,-23.02,-8.02,4,14,2,7,2,17,1838,2258,77.7,84.2,.469,.216,.452,43.4,41.5,10.0,7.9,.404,19.1,25.4,.297
9,American,31,22,9,.710,-3.13,-5.64,11,3,10,3,10,5,2051,1973,61.9,105.2,.375,.348,.543,52.4,60.1,6.5,8.2,.506,15.6,29.8,.269
10,Appalachian State,31,16,15,.516,-4.81,-2.95,10,8,9,3,6,8,2265,2269,68.9,105.5,.399,.335,.548,49.9,41.4,8.3,7.7,.511,16.5,30.3,.281
11,Arizona State,31,12,19,.387,4.30,7.20,4,14,8,7,2,10,1983,2073,64.4,99.0,.290,.409,.521,47.3,64.4,9.8,11.6,.501,16.7,27.7,.182
12,Arizona,38,30,8,.789,16.54,7.99,14,4,17,0,7,4,2905,2580,66.9,112.8,.436,.361,.583,53.1,55.3,7.7,7.4,.541,16.4,34.0,.325
13,Arkansas-Little Rock,36,19,17,.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,65.4,103.3,.423,.317,.528,48.9,52.5,8.9,6.7,.488,15.7,29.9,.292
14,Arkansas-Pine Bluff,31,7,24,.226,-20.00,-8.03,7,11,5,4,2,19,1850,2221,68.4,86.2,.401,.345,.483,46.7,56.9,10.9,6.4,.449,21.5,26.9,.252
15,Arkansas State,32,17,15,.531,-3.38,-3.31,11,5,13,0,4,10,2188,2066,65.6,103.8,.435,.294,.526,53.3,48.7,9.6,8.1,.481,16.9,35.9,.308
16,Arkansas,31,18,13,.581,6.28,2.34,7,9,15,3,2,7,2191,2069,67.7,102.8,.394,.325,.532,48.0,49.3,10.6,15.5,.495,16.8,30.7,.274
17,Army,30,11,19,.367,-10.71,-6.58,3,11,4,8,7,10,2038,2141,68.2,99.6,.298,.426,.525,48.7,57.0,8.3,5.4,.493,18.0,30.0,.212
18,Auburn,31,11,20,.355,-2.47,2.40,4,12,9,11,2,7,1933,2051,65.7,93.8,.391,.274,.481,49.4,51.7,11.7,8.1,.442,18.1,33.8,.257
19,Austin Peay,34,20,14,.588,-0.15,-3.77,13,5,10,3,8,9,2510,2279,68.6,105.4,.394,.264,.539,50.8,53.8,12.3,9.8,.506,17.4,35.6,.268
20,Ball State,32,19,13,.594,-0.70,-3.40,10,6,11,3,6,9,2164,2049,64.7,103.3,.504,.273,.538,50.3,60.2,9.2,5.4,.492,17.3,32.2,.349
21,Baylor,31,18,13,.581,10.00,4.80,7,9,15,3,2,6,2154,1984,66.5,104.0,.432,.293,.552,53.3,48.5,10.5,11.4,.515,20.2,36.6,.300
22,Belmont,35,30,5,.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,69.2,114.3,.382,.422,.577,52.5,60.9,13.9,10.0,.542,16.8,37.4,.281
23,Bethune-Cookman,34,21,13,.618,-11.11,-8.04,13,3,11,3,9,7,2241,2240,63.5,101.6,.396,.244,.520,49.7,49.4,11.0,6.6,.477,16.3,32.4,.281
24,Binghamton,31,8,23,.258,-13.81,-5.35,4,12,3,10,4,12,1861,2123,61.6,96.7,.283,.402,.500,46.2,51.9,8.2,10.4,.468,17.2,30.0,.199
25,Boise State,35,22,13,.629,5.48,0.01,10,6,12,4,9,7,2594,2382,68.2,106.4,.419,.344,.540,50.4,51.3,12.4,7.2,.497,15.2,31.6,.302
