Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
140,Lehigh,31,19,12,.613,-4.00,-4.96,11,3,11,3,6,7,1925,1868,.381,.339,.512,50.8,59.8,8.7,.475,19.7,.260
141,Liberty,30,7,23,.233,-17.86,-4.42,3,13,6,7,1,14,1915,2173,.352,.287,.494,47.2,45.4,8.3,.460,18.7,.234
142,Lipscomb,32,21,11,.656,-4.81,-8.78,15,5,11,1,6,9,2329,2157,.344,.366,.547,52.4,52.8,7.6,.510,18.8,.253
143,Long Beach State,30,18,12,.600,-0.77,-1.66,9,5,9,4,7,7,2498,2384,.363,.375,.554,47.7,46.5,8.4,.522,16.5,.255
144,Long Island University,28,12,16,.429,-10.44,-6.75,9,9,8,4,4,10,1931,2003,.334,.411,.519,47.6,54.4,7.1,.488,18.3,.228
145,Louisiana-Lafayette,29,13,16,.448,-1.31,0.59,7,8,8,3,4,12,1936,1991,.392,.364,.524,50.0,59.9,16.5,.496,21.3,.253
146,Louisiana-Monroe,28,10,18,.357,-10.47,-1.11,6,10,8,5,2,12,1821,1983,.334,.391,.502,48.2,48.9,5.8,.470,20.3,.224
147,Louisiana State,36,27,9,.750,17.54,8.77,14,2,14,2,7,4,2633,2299,.376,.217,.534,55.4,56.3,14.4,.500,18.5,.259
148,Louisiana Tech,33,20,13,.606,4.32,2.55,11,5,10,2,7,9,2182,2083,.325,.267,.485,53.9,58.1,9.3,.457,18.4,.206
149,Louisville,34,21,13,.618,11.26,6.50,6,10,19,3,1,8,2376,2196,.350,.413,.535,50.7,64.2,9.8,.500,17.0,.247
150,Loyola (IL),30,19,11,.633,-0.12,-1.08,8,8,13,3,5,8,2152,2095,.354,.302,.550,51.3,49.2,10.4,.510,16.5,.267
151,Loyola Marymount,30,12,18,.400,1.16,3.68,8,6,7,5,4,11,2178,2238,.388,.236,.500,49.9,60.5,6.9,.459,17.8,.266
152,Loyola (MD),28,15,13,.536,-4.14,-2.85,8,10,8,4,7,8,2152,2188,.315,.366,.548,51.6,50.7,6.2,.521,18.3,.217
153,Maine,28,12,16,.429,-13.21,-6.75,7,9,7,4,3,11,1812,1906,.320,.399,.520,48.0,53.6,13.2,.485,19.7,.226
154,Manhattan,31,20,11,.645,0.87,0.00,14,4,11,3,8,7,2380,2338,.404,.319,.545,48.0,48.7,13.8,.511,15.6,.277
155,Marist,29,19,10,.655,2.20,-2.25,12,6,8,4,10,5,2230,2101,.360,.409,.590,51.1,57.7,8.1,.569,17.2,.246
156,Marquette,31,20,11,.645,11.33,8.16,10,6,14,2,3,7,2325,2150,.301,.364,.558,49.9,58.1,8.1,.527,18.2,.221
157,Marshall,28,12,16,.429,-5.05,-1.56,5,9,7,6,3,8,1845,1936,.360,.377,.499,50.7,58.8,7.4,.463,19.9,.243
158,Maryland-Baltimore County,29,10,19,.345,-8.44,-5.24,5,11,8,4,1,13,1940,2033,.332,.330,.513,48.8,57.0,6.3,.488,17.5,.212
159,Maryland-Eastern Shore,29,7,22,.241,-20.45,-10.16,4,14,3,7,3,14,1882,2167,.361,.304,.473,47.1,50.1,7.4,.448,20.2,.211
160,Maryland,32,19,13,.594,10.73,6.73,8,8,14,3,2,7,2505,2352,.421,.213,.535,52.3,58.5,12.4,.488,18.6,.307
161,Massachusetts,28,13,15,.464,3.74,2.63,8,8,10,2,2,12,1816,1785,.391,.335,.519,53.5,57.8,20.6,.489,21.6,.251
162,McNeese State,28,14,14,.500,-6.64,-3.64,9,7,9,3,5,11,2015,2029,.380,.278,.507,51.3,46.4,6.5,.468,19.3,.261
163,Memphis,37,33,4,.892,18.81,4.24,13,1,19,1,10,1,2961,2422,.394,.342,.544,54.4,54.7,15.6,.512,17.6,.269
164,Mercer,28,9,19,.321,-18.91,-10.12,7,13,4,7,5,9,2058,2256,.322,.307,.523,49.0,44.1,6.8,.493,17.6,.221
165,Miami (FL),34,18,16,.529,9.79,7.00,7,9,11,5,4,8,2308,2213,.333,.330,.526,51.7,48.4,10.6,.493,16.2,.232
166,Miami (OH),29,18,11,.621,3.88,1.15,14,4,11,2,7,8,1822,1743,.322,.353,.555,51.5,54.3,8.6,.521,19.2,.237
167,Michigan State,34,22,12,.647,12.24,7.27,8,8,12,2,4,7,2520,2334,.362,.287,.572,53.9,63.3,7.5,.531,18.0,.279
168,Michigan,33,22,11,.667,12.19,7.04,8,8,16,3,5,6,2367,2197,.352,.332,.578,53.4,58.0,11.3,.542,19.6,.265
169,Middle Tennessee,28,16,12,.571,-1.70,-1.17,8,6,9,4,6,8,1977,1940,.390,.355,.538,51.7,54.3,6.1,.499,17.9,.277
170,Milwaukee,31,22,9,.710,7.65,1.47,12,4,13,2,8,6,2294,2061,.392,.332,.528,54.1,48.8,7.4,.491,16.4,.271
171,Minnesota,31,16,15,.516,7.67,7.29,5,11,13,5,2,9,2046,2003,.368,.264,.513,51.6,59.6,8.6,.480,18.5,.245
172,Mississippi State,30,15,15,.500,5.16,5.66,5,11,11,5,1,8,2043,2058,.357,.316,.519,52.9,44.1,11.8,.494,21.1,.226
173,Mississippi Valley State,28,9,19,.321,-17.46,-8.99,9,9,5,4,4,9,1713,1957,.348,.286,.497,50.1,49.9,5.3,.474,20.1,.212
174,Mississippi,30,14,16,.467,1.68,4.35,4,12,11,6,1,9,1951,2031,.343,.340,.519,50.4,57.1,7.9,.495,20.3,.216
175,Missouri-Kansas City,28,14,14,.500,-9.52,-4.87,11,5,9,4,5,9,1974,2091,.333,.367,.530,45.6,47.6,7.8,.493,15.5,.241
176,Missouri State,31,22,9,.710,12.99,5.19,12,6,14,2,8,6,2301,2059,.386,.290,.550,52.0,57.4,7.9,.507,17.6,.288
177,Missouri,28,12,16,.429,1.99,6.13,5,11,11,5,1,9,1856,1972,.363,.331,.513,49.4,51.1,6.1,.484,19.8,.236
178,Monmouth,34,19,15,.559,-2.99,-4.05,12,6,8,4,9,8,2191,2155,.334,.361,.530,47.0,63.8,10.8,.502,19.9,.224
179,Montana State,30,15,15,.500,-4.59,-2.17,7,7,12,4,3,8,2195,2211,.351,.388,.559,49.2,59.9,10.5,.540,18.3,.226
180,Montana,31,24,7,.774,4.86,-0.96,10,4,13,1,8,5,2449,2202,.367,.331,.586,52.4,64.5,8.0,.556,17.2,.263
181,Morehead State,27,4,23,.148,-20.31,-5.43,3,17,2,10,2,13,1679,2026,.315,.272,.506,47.1,57.2,8.2,.472,21.6,.219
182,Morgan State,30,4,26,.133,-27.25,-7.75,4,14,2,9,2,14,1644,2231,.314,.279,.445,44.6,48.5,8.5,.414,23.5,.195
183,Mount St. Mary's,30,13,17,.433,-7.45,-5.58,11,7,7,6,5,9,1939,1995,.342,.353,.508,47.4,53.8,7.3,.467,17.9,.246
184,Murray State,31,24,7,.774,4.16,-5.07,17,3,14,1,8,4,2203,1901,.305,.363,.536,52.0,60.0,12.9,.514,16.0,.199
185,Navy,28,10,18,.357,-12.60,-6.16,3,11,6,8,3,10,1899,1996,.391,.350,.511,50.5,54.0,6.0,.465,21.7,.282
186,Nebraska,33,19,14,.576,6.31,6.74,7,9,14,5,3,7,2201,2180,.423,.355,.511,52.4,59.6,11.2,.472,19.5,.283
187,Nevada-Las Vegas,30,17,13,.567,7.51,4.51,10,6,12,4,4,8,2084,1994,.301,.304,.524,51.6,60.9,7.8,.498,18.4,.202
188,Nevada,33,27,6,.818,10.16,2.26,13,3,17,1,10,3,2401,2103,.359,.261,.540,53.0,59.4,11.4,.503,16.2,.258
189,New Hampshire,29,12,17,.414,-10.20,-4.93,8,8,7,4,4,11,1720,1873,.334,.474,.545,47.0,61.7,8.0,.500,21.1,.262
190,New Mexico State,30,16,14,.533,2.24,2.97,10,6,10,4,4,10,2106,2095,.414,.300,.544,50.7,45.6,6.1,.506,20.4,.289
191,New Mexico,30,17,13,.567,5.18,2.98,8,8,15,2,2,9,1939,1873,.361,.368,.546,47.8,59.1,7.0,.519,17.2,.242
192,New Orleans,29,10,19,.345,-6.42,0.21,6,9,6,3,1,13,1912,2039,.349,.315,.514,48.3,57.7,7.3,.485,18.9,.228
193,Niagara,29,11,18,.379,-3.49,-0.87,7,11,6,6,3,10,2138,2214,.396,.403,.529,53.8,56.9,6.6,.480,17.3,.296
194,Nicholls State,27,9,18,.333,-14.94,-3.82,5,11,6,4,2,13,1897,2154,.326,.363,.532,47.4,50.9,9.1,.499,20.3,.230
195,Norfolk State,31,13,18,.419,-11.86,-8.63,10,8,6,4,5,10,1918,2018,.370,.239,.483,53.6,41.5,6.7,.455,21.5,.228
196,North Carolina-Asheville,28,9,19,.321,-14.27,-4.00,6,10,5,6,4,13,1885,2121,.374,.314,.516,50.8,59.5,6.3,.473,20.6,.269
197,North Carolina A&T,29,6,23,.207,-18.19,-8.62,6,12,4,6,2,16,1790,2064,.383,.372,.470,45.6,52.2,7.8,.442,20.0,.227
198,North Carolina-Greensboro,31,12,19,.387,-10.69,-4.72,4,10,8,3,1,13,2132,2239,.415,.334,.528,48.3,54.6,13.2,.497,20.3,.270
199,North Carolina State,32,22,10,.688,12.70,5.63,10,6,15,3,5,5,2383,2157,.398,.456,.588,47.8,63.1,16.2,.550,17.8,.299
200,North Carolina-Wilmington,33,25,8,.758,8.90,0.57,15,3,12,1,8,6,2250,1975,.322,.342,.523,51.4,62.7,4.5,.490,16.3,.225
201,North Carolina,31,23,8,.742,18.48,7.77,12,4,14,5,8,2,2460,2128,.405,.317,.570,55.6,64.0,10.3,.536,19.4,.287
202,North Texas,28,14,14,.500,-4.08,-1.88,6,9,11,4,3,9,2144,2077,.354,.318,.523,51.1,46.2,11.7,.494,18.1,.234
203,Northeastern,30,19,11,.633,3.19,-0.30,12,6,10,2,5,8,2256,2107,.304,.379,.548,48.9,60.2,21.5,.516,16.8,.224
204,Northern Arizona,32,21,11,.656,-1.43,-1.35,12,2,13,3,6,6,2444,2262,.403,.287,.585,52.9,60.3,7.2,.545,20.5,.303
205,Northern Illinois,28,17,11,.607,2.75,-0.03,12,6,10,3,6,6,2006,1894,.385,.336,.581,50.6,63.6,10.6,.550,18.1,.274
206,Northern Iowa,33,23,10,.697,11.55,5.13,11,7,12,3,7,5,2165,1907,.366,.386,.555,51.1,58.2,12.2,.520,17.2,.264
207,Northwestern State,34,26,8,.765,4.01,-1.38,15,1,14,0,10,6,2573,2365,.393,.311,.547,51.2,64.4,8.3,.518,18.7,.262
208,Northwestern,29,14,15,.483,3.89,6.44,6,10,9,5,3,8,1696,1697,.295,.457,.543,44.5,70.9,9.7,.520,18.7,.199
209,Notre Dame,30,16,14,.533,12.35,6.68,6,10,12,5,4,7,2291,2121,.367,.416,.568,51.8,60.6,10.2,.533,15.4,.267
210,Oakland,29,11,18,.379,-9.01,-3.71,6,10,6,7,4,9,2142,2241,.410,.344,.543,53.1,47.7,5.6,.508,18.7,.280
211,Ohio State,32,26,6,.813,16.08,5.90,12,4,16,1,6,3,2363,2037,.338,.401,.568,49.5,58.9,8.3,.538,15.6,.243
212,Ohio,30,19,11,.633,3.84,-0.50,10,8,13,2,5,7,2077,1935,.386,.388,.559,50.7,59.4,7.3,.527,18.8,.268
213,Oklahoma State,33,17,16,.515,11.25,6.67,6,10,11,5,3,9,2322,2171,.371,.244,.562,52.7,58.5,8.4,.525,21.8,.274
214,Oklahoma,29,20,9,.690,11.89,6.79,11,5,14,1,6,5,1995,1847,.344,.306,.541,56.9,59.1,9.1,.506,18.4,.245
215,Old Dominion,34,24,10,.706,7.62,1.45,13,5,14,1,8,6,2379,2169,.393,.348,.530,52.0,63.8,9.2,.488,16.5,.282
216,Oral Roberts,33,21,12,.636,3.23,-2.35,13,3,10,2,6,8,2472,2248,.391,.297,.554,53.4,61.0,10.6,.518,17.6,.277
217,Oregon State,31,13,18,.419,1.47,6.31,5,13,7,6,2,10,2043,2170,.420,.293,.531,48.0,51.6,13.0,.490,20.1,.292
218,Oregon,33,15,18,.455,10.41,6.85,7,11,10,7,3,9,2295,2156,.326,.370,.544,52.1,53.4,8.3,.517,16.7,.222
219,Pacific,32,24,8,.750,6.93,-1.57,12,2,11,3,9,4,2377,2047,.339,.314,.581,52.8,59.9,5.5,.548,17.1,.253
220,Penn State,30,15,15,.500,4.42,4.98,6,10,11,7,3,7,2021,2038,.333,.316,.524,50.7,64.3,5.0,.495,16.5,.223
221,Pennsylvania,29,20,9,.690,6.01,-2.31,12,2,12,4,8,4,1987,1744,.345,.381,.535,48.6,58.2,7.9,.507,17.2,.233
222,Pepperdine,27,7,20,.259,-3.09,4.02,3,11,6,6,1,13,1781,1973,.362,.246,.488,47.5,44.0,7.3,.450,18.4,.245
223,Pittsburgh,33,25,8,.758,16.37,7.01,10,6,16,1,5,5,2391,2082,.396,.318,.546,55.4,64.4,10.2,.512,17.3,.274
224,Portland State,28,12,16,.429,-2.40,-1.21,5,9,6,5,5,10,2017,2013,.397,.322,.548,52.9,60.6,7.8,.518,20.4,.267
225,Portland,29,11,18,.379,-3.98,1.17,5,9,7,6,4,9,2013,2160,.393,.271,.526,46.8,51.4,5.1,.483,17.7,.283
226,Prairie View,29,5,24,.172,-24.86,-9.19,2,16,5,7,0,15,1928,2310,.338,.263,.470,45.3,44.0,4.4,.445,20.2,.201
227,Princeton,27,12,15,.444,-7.15,-3.58,10,4,7,6,5,8,1402,1500,.306,.509,.545,43.6,63.1,9.6,.506,22.0,.237
228,Providence,27,12,15,.444,7.83,7.68,5,11,9,7,3,8,2020,2016,.406,.292,.544,51.0,49.9,12.1,.509,18.1,.280
229,Purdue,28,9,19,.321,0.40,6.61,3,13,9,6,0,12,1811,1985,.315,.313,.531,50.7,54.7,9.1,.502,22.7,.216
230,Quinnipiac,28,12,16,.429,-8.12,-5.83,7,11,8,5,3,10,2059,2072,.383,.363,.543,51.0,58.6,8.5,.503,20.2,.277
231,Radford,29,16,13,.552,-7.65,-6.91,9,7,8,4,5,8,2134,2113,.401,.367,.531,47.8,48.0,12.4,.485,15.9,.292
232,Rhode Island,28,14,14,.500,0.27,1.84,8,8,10,6,4,7,1779,1823,.342,.264,.498,53.0,53.5,7.8,.463,16.6,.234
233,Rice,28,12,16,.429,-4.00,0.50,6,8,9,6,3,7,1897,1963,.375,.237,.519,47.4,57.3,6.9,.475,19.2,.274
234,Richmond,30,13,17,.433,-5.09,1.36,6,10,11,5,1,10,1562,1735,.312,.477,.499,45.8,66.8,19.5,.470,21.2,.205
235,Rider,28,8,20,.286,-6.71,-0.60,4,14,5,7,2,12,1981,2152,.376,.415,.537,48.4,62.8,10.7,.498,19.4,.269
236,Robert Morris,29,15,14,.517,-8.04,-6.27,10,8,11,2,4,12,2136,2075,.326,.394,.540,50.8,56.8,7.8,.507,17.9,.234
237,Rutgers,33,19,14,.576,8.00,5.16,7,9,12,5,5,7,2273,2144,.392,.356,.536,49.9,53.3,12.8,.495,16.5,.283
238,Sacramento State,30,15,15,.500,-1.58,-1.19,5,9,7,5,7,9,2273,2232,.340,.340,.524,45.9,46.8,9.2,.488,14.9,.241
239,Sacred Heart,28,11,17,.393,-7.72,-5.97,8,10,8,5,3,12,1853,1902,.410,.282,.532,51.9,52.1,7.0,.493,21.1,.285
240,Saint Francis (PA),28,4,24,.143,-16.61,-5.05,2,16,3,9,1,13,1679,1971,.271,.398,.493,46.1,60.0,9.3,.466,19.6,.181
241,Saint Joseph's,33,19,14,.576,9.60,5.12,9,7,7,5,8,8,2182,2034,.396,.389,.554,51.3,63.2,13.0,.500,17.8,.317
