Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,30,18,12,.600,8.61,2.61,9,5,12,1,4,10,1835,1629,.278,.511,.568,44.3,63.1,7.3,.543,15.6,.200
2,Akron,29,19,10,.655,7.03,1.67,11,7,14,1,5,8,2082,1902,.361,.377,.544,48.3,64.5,10.9,.516,17.0,.244
3,Alabama A&M,32,18,14,.563,-11.96,-12.86,12,6,9,3,6,8,2229,2169,.435,.345,.486,47.0,55.9,10.0,.453,17.7,.267
4,Alabama-Birmingham,33,22,11,.667,10.42,4.78,10,6,11,3,7,5,2557,2371,.389,.313,.541,46.6,57.3,7.2,.505,16.0,.271
5,Alabama State,30,15,15,.500,-14.99,-11.66,11,7,9,4,4,8,1739,1839,.440,.296,.470,51.2,53.3,5.6,.425,20.6,.286
6,Alabama,32,24,8,.750,16.74,6.81,12,4,14,1,8,4,2426,2083,.432,.373,.594,53.9,55.3,13.5,.557,16.9,.318
7,Albany (NY),28,13,15,.464,-2.63,-5.31,9,9,7,4,6,10,1886,1811,.399,.312,.539,50.6,56.8,6.7,.497,19.3,.288
8,Alcorn State,29,7,22,.241,-23.59,-11.31,6,12,5,7,2,13,1677,2016,.402,.320,.458,47.3,56.1,9.8,.425,24.0,.241
9,American,28,16,12,.571,-3.19,-4.30,8,6,9,3,6,9,1881,1850,.320,.323,.543,51.7,53.1,7.7,.511,19.7,.228
10,Appalachian State,30,18,12,.600,-3.76,-4.04,9,7,13,1,3,11,2192,2070,.289,.402,.535,48.5,60.9,12.8,.514,18.0,.189
11,Arizona State,32,18,14,.563,9.21,5.36,7,11,13,5,4,7,2433,2310,.418,.341,.551,52.1,63.7,9.6,.511,17.6,.299
12,Arizona,37,30,7,.811,18.00,8.03,15,3,15,1,8,3,2948,2579,.309,.279,.570,52.9,56.6,8.9,.534,17.6,.240
13,Arkansas-Little Rock,28,18,10,.643,-0.46,0.90,10,4,13,1,4,8,1891,1870,.387,.261,.544,49.4,55.7,8.2,.504,19.8,.282
14,Arkansas-Pine Bluff,28,7,21,.250,-20.71,-10.29,5,13,3,7,4,13,1654,1898,.280,.280,.456,47.9,53.1,12.1,.425,20.3,.182
15,Arkansas State,29,16,13,.552,-1.17,-1.86,7,7,12,2,3,9,2207,2097,.369,.275,.537,51.5,53.5,6.5,.507,17.3,.247
16,Arkansas,30,18,12,.600,12.33,3.60,6,10,13,3,2,7,2147,1885,.374,.289,.539,50.7,56.3,13.0,.511,17.8,.248
17,Army,27,3,24,.111,-20.27,-5.39,1,13,3,11,0,13,1510,1832,.297,.377,.510,43.9,59.2,5.4,.468,22.1,.228
18,Auburn,31,14,17,.452,2.06,6.60,4,12,8,7,3,7,2191,2332,.321,.421,.530,46.8,53.1,5.8,.494,18.0,.233
19,Austin Peay,32,13,19,.406,-3.76,-1.97,9,7,7,5,3,11,2090,2147,.358,.322,.523,48.6,55.7,6.8,.490,18.8,.244
20,Ball State,28,15,13,.536,4.27,3.31,10,8,11,3,4,8,1990,1911,.370,.341,.533,51.2,48.3,6.6,.499,15.6,.254
21,Baylor,28,9,19,.321,-2.79,4.10,1,15,8,9,1,9,1863,2008,.363,.411,.551,45.6,58.3,6.2,.519,21.0,.254
22,Belmont,30,14,16,.467,-7.08,-7.32,12,8,9,5,5,9,2108,2101,.337,.484,.541,45.1,57.7,11.1,.514,18.4,.228
23,Bethune-Cookman,30,13,17,.433,-15.87,-11.67,8,10,6,5,5,10,1931,2057,.321,.343,.511,46.1,57.2,6.8,.493,20.8,.193
24,Binghamton,29,12,17,.414,-4.46,-2.57,8,10,7,5,2,10,1784,1839,.328,.375,.486,50.6,48.4,8.8,.454,17.8,.215
25,Birmingham-Southern,30,16,14,.533,-7.24,-8.24,7,9,7,4,6,9,1974,1893,.459,.401,.560,52.3,52.0,7.6,.517,18.7,.331
26,Boise State,34,16,18,.471,-2.96,0.61,6,12,11,7,3,10,2393,2524,.307,.370,.526,49.7,53.3,6.4,.497,18.4,.210
27,Boston College,30,25,5,.833,14.38,6.41,13,3,16,1,7,2,2174,1935,.428,.293,.536,53.4,68.6,10.3,.493,16.8,.305
28,Boston University,29,20,9,.690,3.24,-3.86,14,4,10,2,10,6,1822,1616,.363,.270,.507,50.5,54.0,12.8,.473,16.5,.244
29,Bowling Green State,29,18,11,.621,1.98,1.76,10,8,12,3,6,7,2023,1990,.364,.335,.586,50.3,68.0,11.2,.552,20.3,.272
30,Bradley,28,13,15,.464,3.23,4.55,6,12,12,3,1,11,1959,1996,.358,.291,.519,51.7,54.2,12.0,.480,19.3,.254
31,Brigham Young,30,9,21,.300,1.02,6.69,3,11,6,8,2,9,1972,2070,.322,.354,.519,49.4,53.6,9.8,.483,18.9,.231
32,Brown,28,12,16,.429,-7.29,-5.54,5,9,5,6,6,9,1849,1898,.396,.381,.525,46.8,60.3,7.3,.486,18.7,.275
33,Bucknell,33,23,10,.697,2.12,-2.19,10,4,12,1,8,7,2097,1946,.424,.373,.551,50.3,59.1,9.7,.513,21.3,.297
34,Buffalo,33,23,10,.697,5.96,2.39,11,7,13,2,8,7,2462,2344,.368,.318,.538,51.4,52.5,6.5,.507,18.4,.252
35,Butler,28,13,15,.464,0.62,-0.85,7,9,10,4,3,9,1811,1709,.320,.462,.572,45.5,53.1,7.7,.541,15.3,.237
36,Cal Poly,27,5,22,.185,-12.76,-0.55,3,15,4,10,1,12,1834,2147,.341,.359,.528,47.8,44.7,8.0,.487,20.6,.253
37,Cal State Fullerton,32,21,11,.656,0.31,-0.83,12,6,10,2,9,7,2408,2289,.222,.348,.530,52.9,51.3,4.0,.509,15.8,.153
38,Cal State Northridge,31,18,13,.581,1.74,-0.98,12,6,9,2,7,9,2229,2085,.405,.293,.543,49.4,55.8,6.3,.504,19.8,.287
39,California-Irvine,29,16,13,.552,-2.80,-1.80,8,10,9,4,6,8,1991,1962,.358,.296,.545,50.9,61.3,6.8,.513,17.8,.251
40,California-Riverside,28,9,19,.321,-8.51,-1.27,4,14,7,7,1,12,1745,1876,.363,.351,.508,49.3,63.9,6.2,.470,20.1,.251
41,California-Santa Barbara,29,11,18,.379,-4.14,-0.40,7,11,8,4,2,13,1718,1823,.357,.369,.501,46.7,51.7,9.5,.469,17.6,.234
42,California,29,13,16,.448,2.59,5.97,6,12,8,9,4,6,1956,2054,.359,.209,.508,50.0,57.2,7.5,.482,18.5,.225
43,Campbell,27,2,25,.074,-20.80,-6.58,0,20,1,10,1,15,1681,2065,.331,.269,.478,51.4,47.2,3.6,.450,22.6,.206
44,Canisius,29,11,18,.379,-8.79,-4.52,8,10,8,7,3,11,2089,2213,.309,.311,.522,47.5,49.8,10.1,.492,16.5,.213
45,Centenary (LA),27,3,24,.111,-16.77,-1.84,1,15,2,9,1,14,1734,2103,.365,.345,.521,44.9,51.2,5.1,.482,21.6,.260
46,Central Connecticut State,28,12,16,.429,-8.26,-7.23,8,10,7,6,5,9,1919,1948,.345,.331,.543,51.7,56.7,5.1,.506,18.8,.252
47,Central Florida,33,24,9,.727,-4.91,-7.78,13,7,12,3,8,5,2304,2152,.382,.446,.573,54.2,65.3,15.2,.544,20.0,.266
48,Central Michigan,28,10,18,.357,-7.35,2.92,4,14,8,7,2,11,1855,2102,.375,.344,.517,48.0,53.2,6.6,.479,21.7,.261
49,Charleston Southern,30,13,17,.433,-12.49,-6.53,7,9,7,6,5,9,1762,1913,.314,.289,.505,49.6,55.8,9.1,.480,21.6,.201
50,Charlotte,29,21,8,.724,9.63,3.97,12,4,12,2,7,5,2257,2093,.413,.357,.534,51.0,53.6,8.1,.497,15.7,.282
51,Chattanooga,31,20,11,.645,-1.37,-3.59,10,6,13,3,7,7,2253,2034,.418,.317,.538,57.5,56.6,5.0,.503,20.6,.284
52,Chicago State,28,9,19,.321,-7.44,-1.29,7,9,6,4,2,14,1808,1980,.373,.305,.506,46.4,50.6,9.5,.479,17.8,.232
53,Cincinnati,33,25,8,.758,17.64,6.74,12,4,15,2,7,3,2505,2130,.457,.330,.535,52.9,58.8,17.5,.494,15.9,.315
54,Citadel,28,12,16,.429,-13.98,-6.65,4,12,8,6,4,9,1868,1953,.396,.356,.498,50.4,45.2,11.2,.464,21.0,.256
55,Clemson,32,16,16,.500,11.23,8.86,5,11,10,5,4,8,2294,2218,.383,.317,.517,51.4,55.6,12.9,.496,20.5,.230
56,Cleveland State,26,9,17,.346,-4.70,0.52,6,10,7,5,2,12,1772,1872,.376,.384,.523,49.7,61.6,5.6,.486,20.4,.261
57,Coastal Carolina,29,10,19,.345,-11.90,-6.63,7,9,8,5,2,13,1976,2068,.303,.336,.512,49.2,57.3,4.7,.489,17.6,.195
58,Colgate,28,12,16,.429,-8.62,-4.97,7,7,8,4,4,9,1848,1904,.285,.328,.526,47.9,52.7,7.6,.496,19.2,.202
59,College of Charleston,28,18,10,.643,-0.66,-4.98,10,6,13,3,4,6,2018,1897,.326,.322,.511,49.4,57.6,7.8,.473,16.2,.233
60,Colorado State,28,11,17,.393,2.36,3.88,3,11,11,4,0,12,1966,1943,.464,.285,.563,51.3,63.0,14.7,.517,20.6,.339
61,Colorado,30,14,16,.467,4.91,8.50,4,12,9,6,4,9,2147,2218,.342,.356,.521,48.8,54.3,13.8,.497,17.0,.215
62,Columbia,27,12,15,.444,-8.56,-6.56,3,11,8,5,4,9,1734,1773,.363,.393,.528,51.8,62.4,10.5,.492,22.6,.253
63,Connecticut,31,23,8,.742,18.82,7.62,13,3,14,3,7,3,2419,2072,.413,.260,.540,57.1,61.6,19.8,.502,17.5,.289
64,Coppin State,29,14,15,.483,-8.51,-6.16,13,5,6,3,7,11,1765,1833,.434,.236,.479,48.3,46.2,8.1,.428,19.1,.300
65,Cornell,27,13,14,.481,-7.65,-5.46,8,6,7,4,6,9,1733,1788,.312,.355,.551,48.7,57.7,9.3,.515,20.0,.234
66,Creighton,34,23,11,.676,10.14,3.84,11,7,11,5,7,5,2421,2207,.363,.388,.567,47.8,58.7,10.0,.533,16.3,.265
67,Dartmouth,27,10,17,.370,-11.20,-4.12,7,7,9,4,1,13,1568,1740,.303,.318,.499,46.2,60.7,9.8,.473,19.7,.196
68,Davidson,32,23,9,.719,1.64,-1.08,16,0,11,3,11,4,2316,2102,.352,.434,.551,53.8,60.2,4.5,.513,18.5,.260
69,Dayton,29,18,11,.621,3.52,0.38,10,6,12,4,5,6,1877,1786,.334,.381,.521,51.2,60.6,5.8,.483,17.6,.241
70,Delaware State,33,19,14,.576,-6.68,-6.89,14,4,9,1,6,11,2043,2036,.421,.392,.537,47.0,52.6,9.6,.488,19.7,.313
71,Delaware,31,11,20,.355,-5.66,-2.47,7,11,7,6,3,11,2017,2116,.353,.340,.513,50.0,55.3,7.9,.483,21.0,.231
72,Denver,31,20,11,.645,4.56,-0.44,12,3,12,1,6,9,2266,2076,.347,.302,.561,47.9,58.9,12.6,.532,16.8,.243
73,DePaul,31,20,11,.645,8.95,4.62,10,6,14,3,5,7,2120,1986,.341,.295,.524,53.6,56.3,8.6,.493,15.8,.233
74,Detroit Mercy,30,14,16,.467,1.63,1.01,9,7,9,5,3,11,1840,1809,.350,.262,.506,54.7,47.9,7.4,.476,17.8,.229
75,Drake,29,13,16,.448,2.26,4.57,7,11,9,6,3,9,2010,2077,.464,.334,.527,52.5,53.3,8.4,.475,19.5,.335
76,Drexel,29,17,12,.586,1.82,-1.91,12,6,8,3,8,8,2022,1914,.419,.368,.535,48.7,59.9,14.5,.500,15.9,.283
77,Duke,33,27,6,.818,23.01,10.04,11,5,14,1,5,4,2581,2153,.429,.398,.560,51.1,49.4,19.1,.521,16.6,.305
78,Duquesne,30,8,22,.267,-6.60,0.90,5,11,4,9,3,11,2014,2239,.267,.311,.507,48.0,59.6,10.1,.469,17.4,.204
79,East Carolina,28,9,19,.321,-2.61,5.70,4,12,6,7,1,11,1793,1934,.386,.257,.472,52.4,54.6,9.7,.436,19.3,.243
80,East Tennessee State,29,10,19,.345,-9.80,-3.30,4,12,8,6,1,13,2228,2283,.313,.293,.535,49.3,41.6,5.5,.509,19.3,.213
81,Eastern Illinois,28,12,16,.429,-7.75,-3.08,7,9,9,4,2,12,1914,2016,.364,.303,.545,51.0,57.7,9.7,.507,20.4,.266
82,Eastern Kentucky,31,22,9,.710,-2.68,-5.18,11,5,12,1,8,7,2256,2078,.313,.311,.554,52.1,56.8,10.0,.531,18.3,.210
83,Eastern Michigan,30,12,18,.400,-2.37,0.78,5,13,9,5,1,12,2178,2204,.505,.312,.540,48.3,52.5,7.1,.494,18.6,.350
84,Eastern Washington,28,8,20,.286,-8.61,-2.35,5,9,5,6,2,13,1736,1893,.346,.364,.509,49.1,63.5,5.2,.478,21.3,.229
85,Elon,31,8,23,.258,-10.93,-2.79,5,11,5,8,2,13,1868,2090,.367,.334,.492,47.9,50.8,5.9,.464,20.2,.227
86,Evansville,28,11,17,.393,0.81,2.91,5,13,10,5,1,10,1986,2045,.357,.392,.553,47.1,63.0,6.3,.528,18.2,.239
87,Fairfield,30,15,15,.500,-2.19,-3.23,11,7,7,5,6,8,2041,2010,.328,.303,.511,49.4,59.5,15.9,.472,16.5,.237
88,Fairleigh Dickinson,33,20,13,.606,-4.13,-6.91,13,5,12,3,7,8,2432,2310,.324,.317,.534,50.8,55.7,10.7,.508,17.1,.216
89,Florida A&M,29,14,15,.483,-15.06,-9.24,10,8,7,3,6,11,1972,2141,.380,.288,.506,50.4,46.7,3.5,.473,20.7,.250
90,Florida Atlantic,27,10,17,.370,-9.02,-7.13,10,10,3,8,7,8,2073,2124,.353,.323,.522,50.7,47.7,10.1,.496,19.2,.227
91,Florida International,30,13,17,.433,-3.90,0.34,4,10,8,7,3,9,2028,2136,.471,.277,.522,53.8,56.3,8.6,.486,22.8,.305
92,Florida State,31,12,19,.387,6.82,8.99,4,12,9,7,3,8,2128,2170,.375,.333,.541,49.0,52.1,9.0,.512,20.3,.249
93,Florida,32,24,8,.750,20.18,7.12,12,4,13,3,6,4,2438,2020,.409,.358,.583,54.2,56.3,13.0,.552,17.7,.289
94,Fordham,29,13,16,.448,-1.79,-0.34,8,8,9,4,3,10,1829,1871,.349,.364,.511,49.7,59.0,12.6,.484,21.2,.224
95,Fresno State,30,16,14,.533,1.14,0.31,9,9,10,6,5,7,2143,2109,.359,.353,.526,51.0,58.8,10.7,.498,19.2,.235
96,Furman,29,16,13,.552,-3.96,-3.72,9,7,11,2,5,8,2120,1903,.306,.421,.575,49.3,62.3,6.8,.552,19.0,.214
97,Gardner-Webb,30,18,12,.600,-5.88,-8.10,13,7,11,2,5,9,2172,2055,.299,.391,.526,51.6,57.3,8.5,.495,18.4,.211
98,George Mason,29,16,13,.552,0.93,-2.83,10,8,10,2,5,8,2127,2018,.397,.338,.544,48.8,56.8,8.5,.509,15.7,.276
99,George Washington,30,22,8,.733,10.62,1.05,11,5,10,3,8,4,2308,2021,.396,.255,.555,52.2,58.1,9.8,.522,17.9,.274
100,Georgetown,32,19,13,.594,9.86,6.54,8,8,12,5,4,6,2061,1955,.301,.426,.557,49.6,63.0,15.9,.530,19.3,.212
101,Georgia Southern,31,18,13,.581,-2.32,-5.32,10,6,12,1,5,9,2506,2331,.374,.301,.520,49.9,52.5,9.7,.478,16.9,.268
102,Georgia State,29,14,15,.483,-8.08,-5.66,11,9,8,4,5,11,2049,2097,.293,.413,.531,47.3,51.9,14.0,.502,16.5,.205
103,Georgia Tech,32,20,12,.625,17.21,9.78,8,8,13,3,4,6,2371,2133,.372,.304,.537,51.6,55.5,12.4,.503,18.1,.257
104,Georgia,28,8,20,.286,-1.22,6.46,2,14,8,9,0,9,1683,1898,.384,.346,.481,47.1,46.3,9.5,.447,19.8,.243
105,Gonzaga,31,26,5,.839,13.30,4.37,12,2,14,0,6,3,2454,2159,.468,.237,.590,55.8,56.8,8.2,.548,16.9,.346
106,Grambling,26,14,12,.538,-17.12,-12.75,11,7,9,3,5,8,1732,1806,.312,.323,.488,48.5,58.8,9.0,.464,18.9,.192
107,Green Bay,28,17,11,.607,-1.95,-0.09,10,6,10,4,7,6,1883,1927,.341,.327,.549,47.4,57.5,5.8,.512,17.9,.251
108,Hampton,30,17,13,.567,-9.20,-10.96,13,5,7,2,8,9,1973,1920,.430,.275,.511,51.8,51.1,6.9,.483,21.5,.264
109,Hartford,28,8,20,.286,-15.12,-4.23,4,14,7,5,0,13,1665,1954,.265,.277,.457,48.2,39.7,4.6,.431,18.5,.167
110,Harvard,27,12,15,.444,-6.73,-4.47,7,7,8,4,4,10,1813,1874,.353,.337,.516,51.3,55.8,9.2,.478,21.4,.249
111,Hawaii,29,16,13,.552,4.07,1.86,7,11,13,4,2,8,1990,1926,.280,.310,.514,49.5,65.8,10.0,.490,16.2,.185
112,High Point,31,13,18,.419,-7.69,-7.39,7,9,10,4,3,12,2310,2206,.388,.301,.519,51.3,54.2,8.1,.488,19.1,.252
113,Hofstra,30,21,9,.700,2.74,-2.53,12,6,10,2,10,6,2157,1982,.371,.361,.540,51.0,51.4,12.5,.514,17.5,.242
114,Holy Cross,32,25,7,.781,5.88,-4.21,13,1,13,3,12,4,2140,1817,.365,.318,.526,53.2,58.7,13.4,.497,17.6,.240
115,Houston,32,18,14,.563,4.64,3.92,9,7,12,2,4,10,2226,2203,.316,.427,.498,46.2,50.1,12.0,.472,15.2,.200
116,Howard,28,5,23,.179,-20.49,-9.83,2,16,2,9,3,13,1792,2065,.320,.393,.469,46.1,43.1,8.8,.433,18.8,.215
117,Idaho State,27,9,18,.333,-14.85,-5.89,3,11,7,6,1,11,1776,1893,.409,.319,.508,46.2,56.7,9.9,.465,19.0,.284
118,Idaho,30,8,22,.267,-6.94,-1.54,6,12,6,6,2,13,1856,1979,.275,.301,.482,49.4,47.8,7.4,.457,16.9,.176
119,Illinois-Chicago,29,15,14,.517,1.13,1.09,8,8,10,5,5,8,2035,1994,.345,.266,.517,51.5,52.0,4.6,.483,16.0,.238
120,Illinois State,30,17,13,.567,3.58,3.34,8,10,10,5,5,7,2003,1961,.366,.348,.546,49.9,59.1,8.4,.521,19.0,.240
